system,name,param,mr_score,ansatz,layers,n_qubits,n_params,depth,n_2q,E_HF,E_FCI,noon_0,noon_1,noon_2,noon_3
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA,1,8,8,8,7,-2.108022044555556,-2.1514346257935517,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA,2,8,16,11,14,-2.108022044555556,-2.1514346257935517,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA,3,8,24,14,21,-2.108022044555556,-2.1514346257935517,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,UCCSD,0,8,0,0,0,-2.108022044555556,-2.1514346257935517,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464303,HEA,1,8,8,8,7,-2.0580508013390117,-2.1111656292169814,1.980721673286698,0.8617217633408712,0.10490702298623492,0.10178957300602212
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464303,HEA,2,8,16,11,14,-2.0580508013390117,-2.1111656292169814,1.980721673286698,0.8617217633408712,0.10490702298623492,0.10178957300602212
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464303,HEA,3,8,24,14,21,-2.0580508013390117,-2.1111656292169814,1.980721673286698,0.8617217633408712,0.10490702298623492,0.10178957300602212
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464303,UCCSD,0,8,0,0,0,-2.0580508013390117,-2.1111656292169814,1.980721673286698,0.8617217633408712,0.10490702298623492,0.10178957300602212
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408852,HEA,1,8,8,8,7,-1.9815604078555382,-2.0477474708670482,2.153009106921978,0.8588876564896387,0.1483952376064816,0.1271884420667428
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408852,HEA,2,8,16,11,14,-1.9815604078555382,-2.0477474708670482,2.153009106921978,0.8588876564896387,0.1483952376064816,0.1271884420667428
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408852,HEA,3,8,24,14,21,-1.9815604078555382,-2.0477474708670482,2.153009106921978,0.8588876564896387,0.1483952376064816,0.1271884420667428
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408852,UCCSD,0,8,0,0,0,-1.9815604078555382,-2.0477474708670482,2.153009106921978,0.8588876564896387,0.1483952376064816,0.1271884420667428
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,HEA,1,8,8,8,7,-1.8822587165363762,-1.969770882426677,2.25820122723135,0.8552443494382846,0.31297912937887784,0.15514970661758914
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,HEA,2,8,16,11,14,-1.8822587165363762,-1.969770882426677,2.25820122723135,0.8552443494382846,0.31297912937887784,0.15514970661758914
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,HEA,3,8,24,14,21,-1.8822587165363762,-1.969770882426677,2.25820122723135,0.8552443494382846,0.31297912937887784,0.15514970661758914
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,UCCSD,0,8,0,0,0,-1.8822587165363762,-1.969770882426677,2.25820122723135,0.8552443494382846,0.31297912937887784,0.15514970661758914
H4,H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,HEA,1,8,8,8,7,-1.7610750541330127,-1.915106549511803,1.4082553711951338,1.4082553711950994,0.8531923909035205,0.17603994493579822
H4,H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,HEA,2,8,16,11,14,-1.7610750541330127,-1.915106549511803,1.4082553711951338,1.4082553711950994,0.8531923909035205,0.17603994493579822
H4,H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,HEA,3,8,24,14,21,-1.7610750541330127,-1.915106549511803,1.4082553711951338,1.4082553711950994,0.8531923909035205,0.17603994493579822
H4,H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,UCCSD,0,8,0,0,0,-1.7610750541330127,-1.915106549511803,1.4082553711951338,1.4082553711950994,0.8531923909035205,0.17603994493579822
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,HEA,1,8,8,8,7,-1.8822587165363758,-1.9697708824266802,2.2582012272313516,0.8552443494382855,0.3129791293788768,0.15514970661758784
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,HEA,2,8,16,11,14,-1.8822587165363758,-1.9697708824266802,2.2582012272313516,0.8552443494382855,0.3129791293788768,0.15514970661758784
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,HEA,3,8,24,14,21,-1.8822587165363758,-1.9697708824266802,2.2582012272313516,0.8552443494382855,0.3129791293788768,0.15514970661758784
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,UCCSD,0,8,0,0,0,-1.8822587165363758,-1.9697708824266802,2.2582012272313516,0.8552443494382855,0.3129791293788768,0.15514970661758784
H4,H4_sq_d+0.15_a1.00,0.15,0.981462229240883,HEA,1,8,8,8,7,-1.9815604078555364,-2.0477474708670482,2.1530091069219788,0.8588876564896375,0.1483952376064812,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.981462229240883,HEA,2,8,16,11,14,-1.9815604078555364,-2.0477474708670482,2.1530091069219788,0.8588876564896375,0.1483952376064812,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.981462229240883,HEA,3,8,24,14,21,-1.9815604078555364,-2.0477474708670482,2.1530091069219788,0.8588876564896375,0.1483952376064812,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.981462229240883,UCCSD,0,8,0,0,0,-1.9815604078555364,-2.0477474708670482,2.1530091069219788,0.8588876564896375,0.1483952376064812,0.12718844206674304
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464292,HEA,1,8,8,8,7,-2.0580508013390126,-2.111165629216984,1.980721673286699,0.8617217633408717,0.10490702298623494,0.10178957300602173
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464292,HEA,2,8,16,11,14,-2.0580508013390126,-2.111165629216984,1.980721673286699,0.8617217633408717,0.10490702298623494,0.10178957300602173
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464292,HEA,3,8,24,14,21,-2.0580508013390126,-2.111165629216984,1.980721673286699,0.8617217633408717,0.10490702298623494,0.10178957300602173
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464292,UCCSD,0,8,0,0,0,-2.0580508013390126,-2.111165629216984,1.980721673286699,0.8617217633408717,0.10490702298623494,0.10178957300602173
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504475,HEA,1,8,8,8,7,-2.1080220445555544,-2.151434625793549,1.8212568731954546,0.8635425626224292,0.0881050904748627,0.08016011724860994
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504475,HEA,2,8,16,11,14,-2.1080220445555544,-2.151434625793549,1.8212568731954546,0.8635425626224292,0.0881050904748627,0.08016011724860994
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504475,HEA,3,8,24,14,21,-2.1080220445555544,-2.151434625793549,1.8212568731954546,0.8635425626224292,0.0881050904748627,0.08016011724860994
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504475,UCCSD,0,8,0,0,0,-2.1080220445555544,-2.151434625793549,1.8212568731954546,0.8635425626224292,0.0881050904748627,0.08016011724860994
